Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.310.611.219,01","3.310.611.219,01","3.310.611.219,01"
2025-10,"3.347.695.400,87","3.347.695.400,87","3.347.695.400,87"
2025-11,"3.366.189.756,60","3.366.189.756,60","3.366.189.756,60"
2025-12,"3.383.865.927,14","3.383.865.927,14","3.383.865.927,14"
2026-01,"3.362.583.449,22","3.362.583.449,22","3.362.583.449,22"
2026-02,"3.363.141.970,39","3.363.141.970,39","3.363.141.970,39"
2026-03,"3.319.642.100,37","3.319.642.100,37","3.319.642.100,37"
2026-04,"3.352.860.388,13","3.352.860.388,13","3.352.860.388,13"
2026-05,"3.388.486.385,26","3.388.486.385,26","3.388.486.385,26"
2026-06,"3.379.919.946,13","3.379.919.946,13","3.379.919.946,13"
2026-07,"3.380.590.944,57","3.380.590.944,57","3.380.590.944,57"
2026-08,"3.373.635.752,03","3.373.635.752,03","3.373.635.752,03"
