Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"236.758.292,96","227.945.480,91","223.313.237,56"
2025-10,"252.378.376,41","241.695.690,83","226.171.165,34"
2025-11,"316.255.294,48","305.614.681,64","255.535.023,31"
2025-12,"340.704.664,03","333.034.862,44","316.756.252,16"
2026-01,"306.985.164,17","299.680.390,93","293.969.776,93"
2026-02,"412.597.676,87","412.265.138,84","361.310.097,41"
2026-03,"275.185.215,63","275.340.064,47","249.876.850,63"
2026-04,"286.423.145,69","282.871.144,85","255.711.578,55"
2026-05,"333.759.679,64","337.922.985,59","351.603.064,71"
2026-06,"339.562.433,67","355.296.328,53","352.884.330,88"
2026-07,"234.581.884,18","238.487.175,39","229.960.073,13"
2026-08,"311.637.157,72","308.574.281,26","247.950.716,10"
