Mês,Real,Previsto,Erro,Erro %
2024-09,"1.795.425.199,00","1.845.572.013,71","-50.146.814,71","-2,79"
2024-10,"1.674.550.753,00","1.822.485.124,61","-147.934.371,61","-8,83"
2024-11,"1.803.404.089,00","1.866.186.598,80","-62.782.509,80","-3,48"
2024-12,"1.818.436.290,00","1.870.108.954,80","-51.672.664,80","-2,84"
2025-01,"1.795.965.852,00","1.908.565.963,15","-112.600.111,15","-6,27"
2025-02,"1.736.385.416,00","1.882.707.089,77","-146.321.673,77","-8,43"
2025-03,"1.691.814.475,00","1.899.842.947,26","-208.028.472,26","-12,30"
2025-04,"1.816.296.788,00","1.930.229.858,68","-113.933.070,68","-6,27"
2025-05,"1.863.062.656,00","1.929.492.841,66","-66.430.185,66","-3,57"
2025-06,"1.968.261.776,00","1.966.131.466,99","2.130.309,01","0,11"
2025-07,"1.993.441.699,00","1.972.415.743,75","21.025.955,25","1,05"
2025-08,"1.893.042.738,00","1.979.067.209,18","-86.024.471,18","-4,54"
