Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.938.178.073,35","1.933.893.758,32","1.886.420.157,18"
2025-10,"1.949.240.183,99","1.932.208.349,71","1.886.549.699,38"
2025-11,"1.997.138.576,61","1.957.562.840,45","1.886.754.722,25"
2025-12,"1.992.095.577,39","1.973.883.132,41","1.886.573.884,81"
2026-01,"2.062.662.719,42","1.978.542.549,16","1.886.257.261,21"
2026-02,"1.963.227.157,47","1.982.599.678,50","1.886.172.849,33"
2026-03,"1.949.445.608,21","1.985.009.729,88","1.886.323.850,17"
2026-04,"2.057.496.262,73","2.015.388.205,82","1.886.673.906,56"
2026-05,"2.007.127.524,83","2.031.889.149,58","1.886.797.916,16"
2026-06,"2.073.799.577,87","2.058.924.206,77","1.886.831.072,32"
2026-07,"2.070.832.349,40","2.072.642.954,54","1.886.749.900,97"
2026-08,"2.097.982.216,81","2.069.069.233,29","1.886.664.619,68"
