Mês,Real,Previsto,Erro,Erro %
2024-09,"1.795.425.199,00","1.749.067.967,64","46.357.231,36","2,58"
2024-10,"1.674.550.753,00","1.748.232.944,54","-73.682.191,54","-4,40"
2024-11,"1.803.404.089,00","1.744.648.565,77","58.755.523,23","3,26"
2024-12,"1.818.436.290,00","1.740.913.499,60","77.522.790,40","4,26"
2025-01,"1.795.965.852,00","1.741.421.234,87","54.544.617,13","3,04"
2025-02,"1.736.385.416,00","1.743.939.042,93","-7.553.626,93","-0,44"
2025-03,"1.691.814.475,00","1.743.223.459,20","-51.408.984,20","-3,04"
2025-04,"1.816.296.788,00","1.740.961.369,71","75.335.418,29","4,15"
2025-05,"1.863.062.656,00","1.732.336.366,43","130.726.289,57","7,02"
2025-06,"1.968.261.776,00","1.701.621.104,26","266.640.671,74","13,55"
2025-07,"1.993.441.699,00","1.700.381.997,91","293.059.701,09","14,70"
2025-08,"1.893.042.738,00","1.693.686.098,34","199.356.639,66","10,53"
