Mês,Real,Previsto,Erro,Erro %
2024-09,"116.197.888,40","103.193.786,65","13.004.101,75","11,19"
2024-10,"114.685.786,90","100.754.898,68","13.930.888,22","12,15"
2024-11,"108.420.714,70","121.030.431,66","-12.609.716,96","-11,63"
2024-12,"243.612.387,80","226.973.849,57","16.638.538,23","6,83"
2025-01,"115.570.215,30","107.968.197,28","7.602.018,02","6,58"
2025-02,"110.627.332,50","102.329.357,95","8.297.974,55","7,50"
2025-03,"111.323.466,50","159.365.862,38","-48.042.395,88","-43,16"
2025-04,"106.732.361,70","76.680.736,82","30.051.624,88","28,16"
2025-05,"132.087.605,00","120.190.814,27","11.896.790,73","9,01"
2025-06,"125.979.679,80","117.162.558,72","8.817.121,08","7,00"
2025-07,"124.164.105,50","131.636.774,28","-7.472.668,78","-6,02"
2025-08,"139.388.939,90","125.224.486,12","14.164.453,78","10,16"
