Mês,Real,Previsto,Erro,Erro %
2024-09,"351.828.596,70","369.486.554,80","-17.657.958,10","-5,02"
2024-10,"374.760.982,40","391.548.661,07","-16.787.678,67","-4,48"
2024-11,"480.460.171,50","491.867.724,82","-11.407.553,32","-2,37"
2024-12,"539.184.760,50","527.133.312,00","12.051.448,50","2,24"
2025-01,"469.921.964,10","497.005.397,74","-27.083.433,64","-5,76"
2025-02,"610.469.468,40","659.202.283,20","-48.732.814,80","-7,98"
2025-03,"406.086.334,10","431.990.637,49","-25.904.303,39","-6,38"
2025-04,"415.354.728,50","462.001.766,24","-46.647.037,74","-11,23"
2025-05,"527.313.163,30","517.905.292,35","9.407.870,95","1,78"
2025-06,"532.019.032,10","530.850.549,91","1.168.482,19","0,22"
2025-07,"332.091.895,20","388.191.248,27","-56.099.353,07","-16,89"
2025-08,"433.375.790,30","469.493.725,20","-36.117.934,90","-8,33"
