Mês,Real,Previsto,Erro,Erro %
2024-09,"351.828.596,70","419.669.077,82","-67.840.481,12","-19,28"
2024-10,"374.760.982,40","438.391.683,18","-63.630.700,78","-16,98"
2024-11,"480.460.171,50","462.215.772,16","18.244.399,34","3,80"
2024-12,"539.184.760,50","466.198.729,89","72.986.030,61","13,54"
2025-01,"469.921.964,10","466.215.996,96","3.705.967,14","0,79"
2025-02,"610.469.468,40","466.576.514,29","143.892.954,11","23,57"
2025-03,"406.086.334,10","448.181.867,15","-42.095.533,05","-10,37"
2025-04,"415.354.728,50","455.105.411,91","-39.750.683,41","-9,57"
2025-05,"527.313.163,30","461.248.961,25","66.064.202,05","12,53"
2025-06,"532.019.032,10","458.822.886,55","73.196.145,55","13,76"
2025-07,"332.091.895,20","428.897.377,56","-96.805.482,36","-29,15"
2025-08,"433.375.790,30","458.134.781,32","-24.758.991,02","-5,71"
