Mês,Real,Previsto,Erro,Erro %
2024-09,"2.467.197.338,00","2.549.475.273,90","-82.277.935,90","-3,33"
2024-10,"2.664.285.648,00","2.562.427.207,79","101.858.440,21","3,82"
2024-11,"2.612.891.902,00","2.575.379.141,69","37.512.760,31","1,44"
2024-12,"2.530.651.773,00","2.588.331.075,58","-57.679.302,58","-2,28"
2025-01,"2.155.774.624,00","2.601.283.009,48","-445.508.385,48","-20,67"
2025-02,"2.312.213.107,00","2.614.234.943,37","-302.021.836,37","-13,06"
2025-03,"2.407.705.068,00","2.627.186.877,27","-219.481.809,27","-9,12"
2025-04,"2.533.180.440,00","2.640.138.811,16","-106.958.371,16","-4,22"
2025-05,"2.459.727.774,00","2.653.090.745,06","-193.362.971,06","-7,86"
2025-06,"2.599.399.674,00","2.666.042.678,95","-66.643.004,95","-2,56"
2025-07,"2.549.874.863,00","2.678.994.612,85","-129.119.749,85","-5,06"
2025-08,"2.696.090.553,00","2.691.946.546,74","4.144.006,26","0,15"
