Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.604.454.194,88","2.604.454.194,88","2.604.454.194,88"
2025-10,"2.606.278.558,77","2.606.278.558,77","2.606.278.558,77"
2025-11,"2.605.829.068,06","2.605.829.068,06","2.605.829.068,06"
2025-12,"2.604.912.990,42","2.604.912.990,42","2.604.912.990,42"
2026-01,"2.605.809.729,70","2.605.809.729,70","2.605.809.729,70"
2026-02,"2.605.629.686,79","2.605.629.686,79","2.605.629.686,79"
2026-03,"2.606.072.843,48","2.606.072.843,48","2.606.072.843,48"
2026-04,"2.606.296.159,48","2.606.296.159,48","2.606.296.159,48"
2026-05,"2.606.208.492,25","2.606.208.492,25","2.606.208.492,25"
2026-06,"2.606.344.701,56","2.606.344.701,56","2.606.344.701,56"
2026-07,"2.606.309.388,03","2.606.309.388,03","2.606.309.388,03"
2026-08,"2.606.441.000,98","2.606.441.000,98","2.606.441.000,98"
