Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"396.592.806,46","402.967.016,02","267.482.297,34"
2025-10,"943.978.473,46","958.344.063,00","272.901.748,88"
2025-11,"237.543.268,74","247.036.303,79","262.908.385,27"
2025-12,"163.830.748,03","170.583.446,21","265.713.783,89"
2026-01,"428.773.438,46","439.618.336,92","266.716.453,83"
2026-02,"190.946.219,48","201.245.332,32","257.103.101,37"
2026-03,"188.418.998,22","198.581.578,32","257.296.694,59"
2026-04,"185.877.202,46","195.726.578,27","257.584.404,16"
2026-05,"183.213.821,90","192.724.463,86","257.939.455,36"
2026-06,"186.566.458,58","195.838.916,91","258.453.507,62"
2026-07,"213.725.377,24","222.477.533,75","259.238.741,16"
2026-08,"235.835.973,12","238.284.969,44","260.055.272,36"
