Mês,Real,Previsto,Erro,Erro %
2024-09,"389.952.461,50","302.979.348,28","86.973.113,22","22,30"
2024-10,"946.992.920,50","310.874.916,88","636.118.003,62","67,17"
2024-11,"222.693.358,40","330.730.185,54","-108.036.827,14","-48,51"
2024-12,"143.789.733,60","330.286.099,33","-186.496.365,73","-129,70"
2025-01,"433.534.162,30","335.085.586,32","98.448.575,98","22,71"
2025-02,"182.513.094,00","325.620.932,66","-143.107.838,66","-78,41"
2025-03,"180.361.447,50","321.704.173,81","-141.342.726,31","-78,37"
2025-04,"175.812.574,60","322.276.298,45","-146.463.723,85","-83,31"
2025-05,"173.323.529,30","317.952.809,57","-144.629.280,27","-83,44"
2025-06,"176.842.448,50","320.168.103,45","-143.325.654,95","-81,05"
2025-07,"201.753.228,60","328.858.188,79","-127.104.960,19","-63,00"
2025-08,"219.009.525,80","331.573.798,58","-112.564.272,78","-51,40"
