Mês,Real,Previsto,Erro,Erro %
2024-09,"223.360.987,80","222.084.188,13","1.276.799,67","0,57"
2024-10,"228.040.211,40","222.903.243,57","5.136.967,83","2,25"
2024-11,"244.689.798,40","223.810.810,17","20.878.988,23","8,53"
2024-12,"450.542.789,20","224.478.822,61","226.063.966,59","50,18"
2025-01,"242.714.846,90","221.168.816,67","21.546.030,23","8,88"
2025-02,"244.793.856,80","221.807.377,72","22.986.479,08","9,39"
2025-03,"249.173.607,40","221.929.614,91","27.243.992,49","10,93"
2025-04,"249.453.651,90","224.838.107,34","24.615.544,56","9,87"
2025-05,"260.060.042,70","224.848.634,00","35.211.408,70","13,54"
2025-06,"264.111.025,10","225.367.371,44","38.743.653,66","14,67"
2025-07,"286.742.514,70","225.229.757,19","61.512.757,51","21,45"
2025-08,"262.502.442,10","224.835.589,09","37.666.853,01","14,35"
