Mês,Real,Previsto,Erro,Erro %
2024-09,"72.720.062,60","85.343.077,74","-12.623.015,14","-17,36"
2024-10,"96.536.056,04","88.583.719,86","7.952.336,18","8,24"
2024-11,"99.392.954,10","84.365.029,09","15.027.925,01","15,12"
2024-12,"110.945.834,40","101.055.146,56","9.890.687,84","8,91"
2025-01,"73.234.223,36","82.481.094,88","-9.246.871,52","-12,63"
2025-02,"81.534.917,13","82.717.878,40","-1.182.961,27","-1,45"
2025-03,"73.194.837,53","93.572.985,36","-20.378.147,83","-27,84"
2025-04,"68.819.853,04","85.988.030,44","-17.168.177,40","-24,95"
2025-05,"62.486.731,53","86.448.383,29","-23.961.651,76","-38,35"
2025-06,"78.011.725,10","85.755.856,73","-7.744.131,63","-9,93"
2025-07,"69.025.922,80","86.298.714,70","-17.272.791,90","-25,02"
2025-08,"83.215.297,08","90.345.677,22","-7.130.380,14","-8,57"
