Mês,Real,Previsto,Erro,Erro %
2024-09,"5.109.587.338,00","4.963.384.008,59","146.203.329,41","2,86"
2024-10,"5.981.193.693,00","4.980.419.356,87","1.000.774.336,13","16,73"
2024-11,"5.185.446.852,00","5.150.301.041,76","35.145.810,24","0,68"
2024-12,"5.580.805.303,00","5.423.588.860,87","157.216.442,13","2,82"
2025-01,"4.856.454.162,00","4.967.944.845,95","-111.490.683,95","-2,30"
2025-02,"5.041.500.943,00","4.944.124.535,74","97.376.407,26","1,93"
2025-03,"4.880.652.021,00","4.952.171.466,68","-71.519.445,68","-1,47"
2025-04,"4.932.765.766,00","5.099.433.791,68","-166.668.025,68","-3,38"
2025-05,"5.528.793.100,00","5.146.747.630,18","382.045.469,82","6,91"
2025-06,"5.098.822.022,00","5.167.892.632,41","-69.070.610,41","-1,35"
2025-07,"4.924.565.801,00","5.186.761.245,69","-262.195.444,69","-5,32"
2025-08,"5.164.353.375,00","5.182.907.335,95","-18.553.960,95","-0,36"
