Mês,Real,Previsto,Erro,Erro %
2024-09,"863.691.278,30","936.606.992,24","-72.915.713,94","-8,44"
2024-10,"923.842.490,20","968.452.695,47","-44.610.205,27","-4,83"
2024-11,"1.174.883.754,00","1.148.246.930,60","26.636.823,40","2,27"
2024-12,"1.319.966.366,00","1.213.417.085,19","106.549.280,81","8,07"
2025-01,"1.209.397.353,00","1.203.044.012,49","6.353.340,51","0,53"
2025-02,"1.595.711.349,00","1.476.841.405,86","118.869.943,14","7,45"
2025-03,"1.056.337.828,00","1.072.773.336,23","-16.435.508,23","-1,56"
2025-04,"1.077.068.104,00","1.126.133.177,80","-49.065.073,80","-4,56"
2025-05,"1.370.535.441,00","1.242.076.625,68","128.458.815,32","9,37"
2025-06,"1.394.758.138,00","1.241.706.102,41","153.052.035,59","10,97"
2025-07,"863.626.043,10","984.708.836,73","-121.082.793,63","-14,02"
2025-08,"1.132.983.411,00","1.132.513.739,49","469.671,51","0,04"
