Mês,Real,Previsto,Erro,Erro %
2024-09,"863.691.278,30","914.867.431,68","-51.176.153,38","-5,93"
2024-10,"923.842.490,20","1.003.327.618,97","-79.485.128,77","-8,60"
2024-11,"1.174.883.754,00","1.200.031.481,69","-25.147.727,69","-2,14"
2024-12,"1.319.966.366,00","1.279.869.873,19","40.096.492,81","3,04"
2025-01,"1.209.397.353,00","1.252.556.580,72","-43.159.227,72","-3,57"
2025-02,"1.595.711.349,00","1.537.144.852,33","58.566.496,67","3,67"
2025-03,"1.056.337.828,00","1.066.251.065,43","-9.913.237,43","-0,94"
2025-04,"1.077.068.104,00","1.132.286.399,99","-55.218.295,99","-5,13"
2025-05,"1.370.535.441,00","1.272.996.666,83","97.538.774,17","7,12"
2025-06,"1.394.758.138,00","1.218.004.447,29","176.753.690,71","12,67"
2025-07,"863.626.043,10","956.103.585,63","-92.477.542,53","-10,71"
2025-08,"1.132.983.411,00","1.127.825.479,55","5.157.931,45","0,46"
