Mês,Real,Previsto,Erro,Erro %
2024-09,"863.691.278,30","893.903.112,31","-30.211.834,01","-3,50"
2024-10,"923.842.490,20","948.626.939,92","-24.784.449,72","-2,68"
2024-11,"1.174.883.754,00","1.031.962.225,57","142.921.528,43","12,16"
2024-12,"1.319.966.366,00","1.047.524.712,54","272.441.653,46","20,64"
2025-01,"1.209.397.353,00","1.050.332.663,53","159.064.689,47","13,15"
2025-02,"1.595.711.349,00","1.055.469.647,96","540.241.701,04","33,86"
2025-03,"1.056.337.828,00","1.034.089.947,78","22.247.880,22","2,11"
2025-04,"1.077.068.104,00","1.041.157.824,41","35.910.279,59","3,33"
2025-05,"1.370.535.441,00","1.053.406.740,46","317.128.700,54","23,14"
2025-06,"1.394.758.138,00","1.049.205.369,92","345.552.768,08","24,78"
2025-07,"863.626.043,10","1.008.095.390,52","-144.469.347,42","-16,73"
2025-08,"1.132.983.411,00","1.043.657.038,30","89.326.372,70","7,88"
