Mês,Real,Previsto,Erro,Erro %
2024-09,"1.317.408.956,00","992.991.724,40","324.417.231,60","24,63"
2024-10,"1.153.292.607,00","982.396.263,56","170.896.343,44","14,82"
2024-11,"1.390.182.058,00","982.957.893,48","407.224.164,52","29,29"
2024-12,"1.335.801.775,00","981.627.657,48","354.174.117,52","26,51"
2025-01,"1.284.014.020,00","984.542.397,83","299.471.622,17","23,32"
2025-02,"1.174.200.927,00","985.563.119,20","188.637.807,80","16,07"
2025-03,"1.047.895.831,00","986.208.079,26","61.687.751,74","5,89"
2025-04,"1.210.102.116,00","985.295.170,91","224.806.945,09","18,58"
2025-05,"1.167.219.600,00","983.133.419,87","184.086.180,13","15,77"
2025-06,"1.307.495.057,00","984.067.379,36","323.427.677,64","24,74"
2025-07,"1.395.414.210,00","982.735.488,60","412.678.721,40","29,57"
2025-08,"1.356.464.127,00","980.565.802,26","375.898.324,74","27,71"
