Mês,Real,Previsto,Erro,Erro %
2024-09,"35.717.325,02","52.950.362,89","-17.233.037,87","-48,25"
2024-10,"-371.397,79","55.779.963,02","-56.151.360,81","15.118,93"
2024-11,"31.421.738,27","46.748.532,35","-15.326.794,08","-48,78"
2024-12,"36.057.857,04","50.379.830,86","-14.321.973,82","-39,72"
2025-01,"94.242.999,91","109.200.262,66","-14.957.262,75","-15,87"
2025-02,"253.704.503,80","261.056.477,20","-7.351.973,40","-2,90"
2025-03,"125.049.925,50","135.383.868,79","-10.333.943,29","-8,26"
2025-04,"119.517.389,80","114.247.823,33","5.269.566,47","4,41"
2025-05,"122.743.853,10","115.021.448,90","7.722.404,20","6,29"
2025-06,"89.857.563,66","83.301.536,80","6.556.026,86","7,30"
2025-07,"75.047.592,41","80.950.513,07","-5.902.920,66","-7,87"
2025-08,"55.096.145,68","73.429.099,46","-18.332.953,78","-33,27"
