Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"127.474.499,40","139.413.067,05","143.280.838,12"
2025-10,"130.113.101,13","134.380.685,03","139.540.972,77"
2025-11,"125.958.949,19","117.494.213,64","140.311.294,74"
2025-12,"223.913.541,20","172.149.820,06","143.848.191,37"
2026-01,"97.305.103,90","91.227.336,74","112.610.861,25"
2026-02,"125.129.637,28","133.901.939,07","136.986.356,04"
2026-03,"125.082.906,42","117.757.057,28","140.403.043,99"
2026-04,"124.483.852,05","166.725.279,07","143.146.748,40"
2026-05,"149.251.141,16","145.137.086,04","141.118.097,38"
2026-06,"144.503.639,79","120.805.490,01","141.857.936,11"
2026-07,"138.098.652,50","156.883.077,37","141.839.299,69"
2026-08,"141.062.808,69","127.093.211,32","137.272.136,85"
