Mês,Real,Previsto,Erro,Erro %
2024-09,"7.522.816,79","5.074.207,90","2.448.608,89","32,55"
2024-10,"5.318.702,38","5.074.207,90","244.494,48","4,60"
2024-11,"5.211.945,84","5.074.207,90","137.737,94","2,64"
2024-12,"7.853.097,58","5.074.207,90","2.778.889,68","35,39"
2025-01,"4.839.871,84","5.074.207,90","-234.336,06","-4,84"
2025-02,"7.116.362,11","5.074.207,90","2.042.154,21","28,70"
2025-03,"5.995.247,40","5.074.207,90","921.039,50","15,36"
2025-04,"5.422.064,46","5.074.207,90","347.856,56","6,42"
2025-05,"7.434.552,36","5.074.207,90","2.360.344,46","31,75"
2025-06,"5.492.264,12","5.074.207,90","418.056,22","7,61"
2025-07,"9.749.265,07","5.074.207,90","4.675.057,17","47,95"
2025-08,"5.660.492,42","5.074.207,90","586.284,52","10,36"
