Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"6.077.035,21","5.909.316,67","1.414.605,22"
2025-10,"6.083.314,98","5.909.316,67","1.412.502,13"
2025-11,"6.145.218,25","5.909.316,67","1.411.591,14"
2025-12,"6.350.633,57","5.909.316,67","1.410.759,97"
2026-01,"5.939.977,00","5.909.316,67","1.408.797,44"
2026-02,"5.941.123,68","5.909.316,67","1.407.376,29"
2026-03,"6.240.193,33","5.909.316,67","1.405.361,70"
2026-04,"6.332.256,90","5.909.316,67","1.403.853,79"
2026-05,"6.904.128,80","5.909.316,67","1.402.838,69"
2026-06,"6.542.581,26","5.909.316,67","1.401.445,30"
2026-07,"6.164.111,33","5.909.316,67","1.400.438,87"
2026-08,"6.949.305,31","5.909.316,67","1.398.464,19"
