Mês,Real,Previsto,Erro,Erro %
2024-09,"7.522.816,79","1.879.351,32","5.643.465,47","75,02"
2024-10,"5.318.702,38","1.875.367,25","3.443.335,13","64,74"
2024-11,"5.211.945,84","1.874.187,30","3.337.758,54","64,04"
2024-12,"7.853.097,58","1.867.815,56","5.985.282,02","76,22"
2025-01,"4.839.871,84","1.862.861,51","2.977.010,33","61,51"
2025-02,"7.116.362,11","1.858.592,86","5.257.769,25","73,88"
2025-03,"5.995.247,40","1.851.511,42","4.143.735,98","69,12"
2025-04,"5.422.064,46","1.851.303,20","3.570.761,26","65,86"
2025-05,"7.434.552,36","1.851.636,36","5.582.916,00","75,09"
2025-06,"5.492.264,12","1.846.661,48","3.645.602,64","66,38"
2025-07,"9.749.265,07","1.835.148,28","7.914.116,79","81,18"
2025-08,"5.660.492,42","1.828.556,18","3.831.936,24","67,70"
