Mês,Real,Previsto,Erro,Erro %
2024-09,"585.264.078,80","632.626.141,92","-47.362.063,12","-8,09"
2024-10,"618.972.141,00","658.987.786,33","-40.015.645,33","-6,46"
2024-11,"804.516.587,00","810.712.031,08","-6.195.444,08","-0,77"
2024-12,"901.142.997,00","845.098.566,68","56.044.430,32","6,22"
2025-01,"757.644.957,50","808.096.098,99","-50.451.141,49","-6,66"
2025-02,"1.016.443.676,00","1.021.427.445,97","-4.983.769,97","-0,49"
2025-03,"669.421.071,10","660.573.022,38","8.848.048,72","1,32"
2025-04,"680.276.716,30","842.648.568,42","-162.371.852,12","-23,87"
2025-05,"867.760.669,60","843.124.793,54","24.635.876,06","2,84"
2025-06,"891.200.376,40","808.009.364,78","83.191.011,62","9,33"
2025-07,"547.138.892,90","697.934.056,65","-150.795.163,75","-27,56"
2025-08,"721.813.161,60","776.433.653,22","-54.620.491,62","-7,57"
