Mês,Real,Previsto,Erro,Erro %
2024-09,"585.264.078,80","648.002.084,56","-62.738.005,76","-10,72"
2024-10,"618.972.141,00","648.517.837,94","-29.545.696,94","-4,77"
2024-11,"804.516.587,00","649.188.662,16","155.327.924,84","19,31"
2024-12,"901.142.997,00","649.578.139,81","251.564.857,19","27,92"
2025-01,"757.644.957,50","650.822.641,30","106.822.316,20","14,10"
2025-02,"1.016.443.676,00","651.620.895,28","364.822.780,72","35,89"
2025-03,"669.421.071,10","649.683.184,20","19.737.886,90","2,95"
2025-04,"680.276.716,30","650.858.040,77","29.418.675,53","4,32"
2025-05,"867.760.669,60","649.293.261,63","218.467.407,97","25,18"
2025-06,"891.200.376,40","649.358.207,01","241.842.169,39","27,14"
2025-07,"547.138.892,90","646.826.727,44","-99.687.834,54","-18,22"
2025-08,"721.813.161,60","647.909.901,32","73.903.260,28","10,24"
