Mês,Real,Previsto,Erro,Erro %
2024-09,"7.212.455.940,00","6.326.594.747,91","885.861.192,09","12,28"
2024-10,"6.824.848.478,00","6.324.942.978,63","499.905.499,37","7,32"
2024-11,"7.496.481.779,00","6.324.625.399,76","1.171.856.379,24","15,63"
2024-12,"7.410.167.813,00","6.324.764.564,98","1.085.403.248,02","14,65"
2025-01,"7.094.343.937,00","6.324.460.325,44","769.883.611,56","10,85"
2025-02,"6.563.857.417,00","6.323.586.598,75","240.270.818,25","3,66"
2025-03,"7.049.914.282,00","6.323.611.738,28","726.302.543,72","10,30"
2025-04,"7.046.679.744,00","6.323.263.504,58","723.416.239,42","10,27"
2025-05,"6.790.856.325,00","6.322.749.940,03","468.106.384,97","6,89"
2025-06,"7.706.330.376,00","6.322.663.875,65","1.383.666.500,35","17,95"
2025-07,"7.076.443.480,00","6.322.128.506,42","754.314.973,58","10,66"
2025-08,"7.478.742.302,00","6.321.766.035,54","1.156.976.266,46","15,47"
