Mês,Real,Previsto,Erro,Erro %
2024-09,"328.898.949,70","530.663.854,26","-201.764.904,56","-61,35"
2024-10,"285.471.810,70","401.196.917,75","-115.725.107,05","-40,54"
2024-11,"234.195.460,40","293.778.741,63","-59.583.281,23","-25,44"
2024-12,"210.859.555,50","282.010.944,33","-71.151.388,83","-33,74"
2025-01,"2.223.656.164,00","4.931.318.525,15","-2.707.662.361,15","-121,77"
2025-02,"3.889.136.500,00","1.771.686.292,97","2.117.450.207,03","54,45"
2025-03,"1.933.785.981,00","952.211.042,12","981.574.938,88","50,76"
2025-04,"1.744.022.405,00","408.895.956,98","1.335.126.448,02","76,55"
2025-05,"586.753.605,30","342.091.708,17","244.661.897,13","41,70"
2025-06,"506.580.925,70","566.659.405,53","-60.078.479,83","-11,86"
2025-07,"490.537.684,50","488.851.556,85","1.686.127,65","0,34"
2025-08,"375.784.228,50","399.451.646,20","-23.667.417,70","-6,30"
