Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"683.333.829,31","554.566.032,19","40.161.072,21"
2025-10,"656.590.709,80","532.318.027,68","23.124.265,17"
2025-11,"653.893.822,06","512.485.651,42","18.779.595,22"
2025-12,"692.179.943,87","510.005.008,92","56.783.109,36"
2026-01,"2.874.665.413,45","1.662.350.692,97","2.627.276.300,62"
2026-02,"1.829.208.437,95","2.674.130.003,29","2.646.511.235,58"
2026-03,"2.063.620.352,22","2.045.031.037,89","2.589.016.047,19"
2026-04,"1.239.775.944,72","1.575.378.207,01","2.370.570.867,27"
2026-05,"1.019.057.613,04","900.530.385,77","119.184.852,21"
2026-06,"870.611.966,94","727.772.674,23","23.854.426,79"
2026-07,"824.002.200,11","694.375.481,13","22.868.083,76"
2026-08,"827.642.199,80","624.570.931,72","26.501.932,14"
