Mês,Real,Previsto,Erro,Erro %
2024-09,"328.898.949,70","363.030.866,25","-34.131.916,55","-10,38"
2024-10,"285.471.810,70","363.311.445,88","-77.839.635,18","-27,27"
2024-11,"234.195.460,40","364.427.218,53","-130.231.758,13","-55,61"
2024-12,"210.859.555,50","366.272.855,27","-155.413.299,77","-73,70"
2025-01,"2.223.656.164,00","367.825.415,73","1.855.830.748,27","83,46"
2025-02,"3.889.136.500,00","356.440.071,56","3.532.696.428,44","90,83"
2025-03,"1.933.785.981,00","354.128.785,70","1.579.657.195,30","81,69"
2025-04,"1.744.022.405,00","351.588.394,52","1.392.434.010,48","79,84"
2025-05,"586.753.605,30","351.007.002,58","235.746.602,72","40,18"
2025-06,"506.580.925,70","350.750.523,64","155.830.402,06","30,76"
2025-07,"490.537.684,50","350.573.190,18","139.964.494,32","28,53"
2025-08,"375.784.228,50","350.484.523,44","25.299.705,06","6,73"
