Mês,Real,Previsto,Erro,Erro %
2024-09,"630.910.385,40","645.479.109,64","-14.568.724,24","-2,31"
2024-10,"605.951.414,40","656.972.869,57","-51.021.455,17","-8,42"
2024-11,"829.095.387,60","735.355.472,05","93.739.915,55","11,31"
2024-12,"1.143.071.649,00","920.724.091,44","222.347.557,56","19,45"
2025-01,"396.177.188,50","577.438.772,97","-181.261.584,47","-45,75"
2025-02,"770.204.390,10","637.452.926,05","132.751.464,05","17,24"
2025-03,"601.086.390,00","645.261.777,69","-44.175.387,69","-7,35"
2025-04,"645.732.657,80","643.050.054,15","2.682.603,65","0,42"
2025-05,"626.652.726,40","680.571.375,53","-53.918.649,13","-8,60"
2025-06,"651.135.544,80","672.340.151,57","-21.204.606,77","-3,26"
2025-07,"650.286.314,40","675.903.580,24","-25.617.265,84","-3,94"
2025-08,"651.215.517,50","689.633.068,78","-38.417.551,28","-5,90"
