Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"707.352.268,06","690.776.548,89","620.611.763,45"
2025-10,"710.332.396,36","678.776.785,51","654.754.294,86"
2025-11,"831.904.169,54","826.469.138,86","1.021.784.404,37"
2025-12,"1.020.744.545,50","1.002.673.997,77","1.112.748.570,58"
2026-01,"593.191.437,03","557.788.418,82","595.727.959,43"
2026-02,"702.814.215,94","699.242.349,62","677.413.354,81"
2026-03,"687.554.837,11","664.407.431,04","614.542.160,35"
2026-04,"694.348.839,03","674.214.272,14","628.522.621,70"
2026-05,"719.645.980,52","685.634.773,40","630.048.322,31"
2026-06,"720.773.505,50","694.633.912,07","639.171.674,97"
2026-07,"729.346.090,66","702.463.418,21","635.071.044,50"
2026-08,"747.525.384,29","710.526.658,68","630.539.381,43"
