Mês,Real,Previsto,Erro,Erro %
2024-09,"192.019.703,10","180.063.613,96","11.956.089,14","6,23"
2024-10,"190.831.285,80","166.819.231,38","24.012.054,42","12,58"
2024-11,"187.810.067,80","188.373.912,82","-563.845,02","-0,30"
2024-12,"316.895.720,70","212.109.139,96","104.786.580,74","33,07"
2025-01,"131.511.502,40","145.088.600,50","-13.577.098,10","-10,32"
2025-02,"131.729.160,60","153.408.254,95","-21.679.094,35","-16,46"
2025-03,"172.557.079,40","177.425.978,87","-4.868.899,47","-2,82"
2025-04,"174.315.922,80","174.908.943,12","-593.020,32","-0,34"
2025-05,"161.065.592,60","179.027.523,36","-17.961.930,76","-11,15"
2025-06,"197.368.074,50","183.080.026,63","14.288.047,87","7,24"
2025-07,"174.418.371,10","193.567.740,71","-19.149.369,61","-10,98"
2025-08,"158.276.134,80","188.296.364,59","-30.020.229,79","-18,97"
