Mês,Real,Previsto,Erro,Erro %
2024-09,"12.030.516.890,00","12.169.064.521,89","-138.547.631,89","-1,15"
2024-10,"11.902.160.020,00","12.594.661.449,28","-692.501.429,28","-5,82"
2024-11,"12.672.381.590,00","12.524.453.645,12","147.927.944,88","1,17"
2024-12,"14.336.718.490,00","13.005.887.207,73","1.330.831.282,27","9,28"
2025-01,"13.702.922.360,00","14.359.906.986,15","-656.984.626,15","-4,79"
2025-02,"15.809.692.900,00","13.441.990.827,25","2.367.702.072,75","14,98"
2025-03,"13.427.979.170,00","12.592.533.391,09","835.445.778,91","6,22"
2025-04,"13.468.806.080,00","13.056.979.358,00","411.826.722,00","3,06"
2025-05,"12.748.888.400,00","13.422.478.855,90","-673.590.455,90","-5,28"
2025-06,"13.604.772.470,00","13.205.116.326,53","399.656.143,47","2,94"
2025-07,"12.532.863.420,00","13.505.803.809,36","-972.940.389,36","-7,76"
2025-08,"12.626.019.540,00","13.355.509.384,62","-729.489.844,62","-5,78"
