Mês,Real,Previsto,Erro,Erro %
2024-09,"8.452.488.349,00","8.449.759.185,68","2.729.163,32","0,03"
2024-10,"8.415.037.057,00","8.069.149.182,92","345.887.874,08","4,11"
2024-11,"8.850.436.934,00","8.529.808.377,30","320.628.556,70","3,62"
2024-12,"10.083.765.300,00","10.456.525.261,37","-372.759.961,37","-3,70"
2025-01,"9.155.197.387,00","9.494.397.984,39","-339.200.597,39","-3,71"
2025-02,"9.903.672.018,00","8.740.746.513,05","1.162.925.504,95","11,74"
2025-03,"8.987.550.761,00","8.851.111.722,95","136.439.038,05","1,52"
2025-04,"9.041.797.438,00","8.823.131.072,69","218.666.365,31","2,42"
2025-05,"9.099.694.183,00","8.940.569.510,55","159.124.672,45","1,75"
2025-06,"9.595.247.436,00","8.792.831.806,78","802.415.629,22","8,36"
2025-07,"8.890.175.484,00","8.787.821.044,57","102.354.439,43","1,15"
2025-08,"8.842.945.368,00","9.005.646.723,04","-162.701.355,04","-1,84"
