Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"9.193.085.390,86","9.115.452.378,86","9.348.954.321,50"
2025-10,"8.867.968.425,14","8.900.314.113,67","9.359.688.680,06"
2025-11,"9.325.918.465,03","9.225.845.799,54","9.369.861.203,08"
2025-12,"11.019.852.175,40","10.226.059.160,38","9.357.677.968,80"
2026-01,"10.202.503.153,54","9.732.752.579,69","9.373.283.450,15"
2026-02,"9.674.784.370,93","9.412.395.106,63","9.364.685.716,53"
2026-03,"9.675.846.589,91","9.453.311.921,71","9.364.722.622,26"
2026-04,"9.660.942.867,41","9.450.574.104,77","9.368.243.863,53"
2026-05,"9.778.326.762,72","9.543.754.883,55","9.378.027.356,70"
2026-06,"9.711.242.073,95","9.540.953.527,33","9.379.066.361,68"
2026-07,"9.605.799.799,02","9.424.848.862,45","9.383.832.411,67"
2026-08,"9.840.235.104,42","9.542.638.171,60","9.387.612.427,27"
