Mês,Real,Previsto,Erro,Erro %
2024-09,"8.452.488.349,00","8.157.700.152,89","294.788.196,11","3,49"
2024-10,"8.415.037.057,00","8.162.189.752,17","252.847.304,83","3,00"
2024-11,"8.850.436.934,00","8.196.296.968,21","654.139.965,79","7,39"
2024-12,"10.083.765.300,00","8.217.238.608,63","1.866.526.691,37","18,51"
2025-01,"9.155.197.387,00","8.217.331.688,91","937.865.698,09","10,24"
2025-02,"9.903.672.018,00","8.205.940.532,35","1.697.731.485,65","17,14"
2025-03,"8.987.550.761,00","8.176.342.832,33","811.207.928,67","9,03"
2025-04,"9.041.797.438,00","8.199.645.013,05","842.152.424,95","9,31"
2025-05,"9.099.694.183,00","8.207.621.058,19","892.073.124,81","9,80"
2025-06,"9.595.247.436,00","8.198.439.237,28","1.396.808.198,72","14,56"
2025-07,"8.890.175.484,00","8.205.531.832,69","684.643.651,31","7,70"
2025-08,"8.842.945.368,00","8.196.989.379,81","645.955.988,19","7,30"
