Mês,Real,Previsto,Erro,Erro %
2024-09,"1.454.537.707,00","1.447.239.124,02","7.298.582,98","0,50"
2024-10,"1.481.748.999,00","1.430.625.732,70","51.123.266,30","3,45"
2024-11,"1.517.481.579,00","1.467.515.153,35","49.966.425,65","3,29"
2024-12,"1.483.815.863,00","1.473.402.543,10","10.413.319,90","0,70"
2025-01,"1.446.189.580,00","1.463.473.539,20","-17.283.959,20","-1,20"
2025-02,"1.392.095.359,00","1.421.648.503,14","-29.553.144,14","-2,12"
2025-03,"1.421.636.777,00","1.476.182.907,35","-54.546.130,35","-3,84"
2025-04,"1.500.500.634,00","1.493.790.857,90","6.709.776,10","0,45"
2025-05,"1.351.586.895,00","1.459.134.337,39","-107.547.442,39","-7,96"
2025-06,"1.431.901.222,00","1.474.679.183,02","-42.777.961,02","-2,99"
2025-07,"1.439.809.445,00","1.492.680.562,09","-52.871.117,09","-3,67"
2025-08,"1.562.046.197,00","1.517.521.582,44","44.524.614,56","2,85"
