Mês,Real,Previsto,Erro,Erro %
2024-09,"1.454.537.707,00","1.435.647.221,79","18.890.485,21","1,30"
2024-10,"1.481.748.999,00","1.422.061.118,05","59.687.880,95","4,03"
2024-11,"1.517.481.579,00","1.461.197.677,07","56.283.901,93","3,71"
2024-12,"1.483.815.863,00","1.476.840.752,99","6.975.110,01","0,47"
2025-01,"1.446.189.580,00","1.464.803.703,39","-18.614.123,39","-1,29"
2025-02,"1.392.095.359,00","1.406.368.206,00","-14.272.847,00","-1,03"
2025-03,"1.421.636.777,00","1.464.488.123,45","-42.851.346,45","-3,01"
2025-04,"1.500.500.634,00","1.510.360.408,96","-9.859.774,96","-0,66"
2025-05,"1.351.586.895,00","1.474.794.596,02","-123.207.701,02","-9,12"
2025-06,"1.431.901.222,00","1.488.454.774,79","-56.553.552,79","-3,95"
2025-07,"1.439.809.445,00","1.521.567.412,00","-81.757.967,00","-5,68"
2025-08,"1.562.046.197,00","1.542.964.812,22","19.081.384,78","1,22"
