Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.520.333.761,48","1.551.560.269,04","1.502.269.969,62"
2025-10,"1.503.269.369,71","1.531.265.729,31","1.503.392.639,83"
2025-11,"1.550.549.420,35","1.570.191.726,05","1.504.019.169,11"
2025-12,"1.547.925.567,10","1.572.234.407,13","1.503.637.792,55"
2026-01,"1.534.182.038,42","1.560.112.205,79","1.502.690.814,08"
2026-02,"1.470.182.936,46","1.517.481.195,10","1.503.109.525,14"
2026-03,"1.528.193.690,18","1.563.982.520,96","1.504.753.686,07"
2026-04,"1.572.745.593,95","1.587.290.168,32","1.506.396.215,58"
2026-05,"1.510.640.949,03","1.541.913.209,97","1.506.697.903,39"
2026-06,"1.554.281.419,36","1.563.973.851,23","1.507.088.252,78"
2026-07,"1.583.524.229,64","1.580.478.774,68","1.507.139.768,11"
2026-08,"1.621.065.064,54","1.614.582.460,48","1.507.173.337,78"
