Mês,Real,Previsto,Erro,Erro %
2024-09,"1.454.537.707,00","1.400.740.056,05","53.797.650,95","3,70"
2024-10,"1.481.748.999,00","1.403.056.048,29","78.692.950,71","5,31"
2024-11,"1.517.481.579,00","1.403.154.480,24","114.327.098,76","7,53"
2024-12,"1.483.815.863,00","1.401.481.108,46","82.334.754,54","5,55"
2025-01,"1.446.189.580,00","1.401.241.724,92","44.947.855,08","3,11"
2025-02,"1.392.095.359,00","1.400.297.669,10","-8.202.310,10","-0,59"
2025-03,"1.421.636.777,00","1.402.535.304,13","19.101.472,87","1,34"
2025-04,"1.500.500.634,00","1.406.264.781,51","94.235.852,49","6,28"
2025-05,"1.351.586.895,00","1.406.423.551,94","-54.836.656,94","-4,06"
2025-06,"1.431.901.222,00","1.407.967.423,02","23.933.798,98","1,67"
2025-07,"1.439.809.445,00","1.408.974.558,67","30.834.886,33","2,14"
2025-08,"1.562.046.197,00","1.409.022.304,02","153.023.892,98","9,80"
