Mês,Real,Previsto,Erro,Erro %
2024-09,"27.338.946,81","30.280.053,59","-2.941.106,78","-10,76"
2024-10,"25.229.524,15","28.089.711,92","-2.860.187,77","-11,34"
2024-11,"18.680.562,34","21.535.781,38","-2.855.219,04","-15,28"
2024-12,"76.991.111,57","64.234.642,94","12.756.468,63","16,57"
2025-01,"584.445.560,80","577.759.005,38","6.686.555,42","1,14"
2025-02,"87.622.206,86","97.296.893,89","-9.674.687,03","-11,04"
2025-03,"85.897.201,43","74.792.172,87","11.105.028,56","12,93"
2025-04,"79.112.370,97","96.895.573,35","-17.783.202,38","-22,48"
2025-05,"79.300.500,22","80.086.736,40","-786.236,18","-0,99"
2025-06,"44.567.854,22","50.544.280,31","-5.976.426,09","-13,41"
2025-07,"44.581.594,17","45.876.972,77","-1.295.378,60","-2,91"
2025-08,"33.391.248,18","34.801.801,03","-1.410.552,85","-4,22"
