Mês,Real,Previsto,Erro,Erro %
2024-09,"128.910.054,70","140.856.781,63","-11.946.726,93","-9,27"
2024-10,"130.417.433,10","141.522.130,56","-11.104.697,46","-8,51"
2024-11,"156.459.661,50","141.433.849,91","15.025.811,59","9,60"
2024-12,"248.755.724,60","141.496.505,43","107.259.219,17","43,12"
2025-01,"168.507.171,70","141.125.844,57","27.381.327,13","16,25"
2025-02,"129.925.828,60","141.149.192,74","-11.223.364,14","-8,64"
2025-03,"174.915.635,30","140.896.271,45","34.019.363,85","19,45"
2025-04,"128.922.657,90","141.533.380,05","-12.610.722,15","-9,78"
2025-05,"172.719.315,70","141.308.879,80","31.410.435,90","18,19"
2025-06,"147.412.072,50","141.387.984,07","6.024.088,43","4,09"
2025-07,"171.585.470,80","141.349.987,88","30.235.482,92","17,62"
2025-08,"172.140.132,70","141.322.257,59","30.817.875,11","17,90"
