Mês,Real,Previsto,Erro,Erro %
2024-09,"38.657.827,16","36.891.235,95","1.766.591,21","4,57"
2024-10,"41.827.113,83","36.901.649,44","4.925.464,39","11,78"
2024-11,"24.710.245,13","36.908.194,52","-12.197.949,39","-49,36"
2024-12,"61.972.479,72","36.915.287,85","25.057.191,87","40,43"
2025-01,"36.609.653,80","36.917.312,55","-307.658,75","-0,84"
2025-02,"40.644.144,00","36.925.590,22","3.718.553,78","9,15"
2025-03,"41.719.554,23","36.913.613,48","4.805.940,75","11,52"
2025-04,"33.976.008,51","36.923.366,54","-2.947.358,03","-8,67"
2025-05,"34.213.684,81","36.993.550,47","-2.779.865,66","-8,13"
2025-06,"38.721.906,77","36.979.730,02","1.742.176,75","4,50"
2025-07,"36.582.464,77","36.966.404,90","-383.940,13","-1,05"
2025-08,"38.000.985,66","36.956.193,55","1.044.792,11","2,75"
