Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.590.157.929,03","2.609.141.660,97","2.617.378.937,10"
2025-10,"2.589.483.685,03","2.626.238.201,49","2.643.858.313,28"
2025-11,"2.616.737.047,49","2.668.896.731,94","2.709.623.080,43"
2025-12,"2.898.424.112,04","2.880.145.847,76","2.753.880.924,54"
2026-01,"2.967.228.257,57","2.994.143.723,43","2.764.254.696,59"
2026-02,"2.574.008.093,76","2.685.355.878,04","2.680.309.704,44"
2026-03,"2.644.619.065,70","2.671.445.004,76","2.654.464.779,93"
2026-04,"2.693.937.909,26","2.703.581.668,25","2.664.375.633,30"
2026-05,"2.723.279.695,77","2.683.367.814,90","2.658.837.034,57"
2026-06,"2.658.723.845,11","2.733.932.345,43","2.678.750.216,66"
2026-07,"2.676.784.855,02","2.701.293.849,32","2.678.646.121,72"
2026-08,"2.696.454.574,34","2.765.467.983,78","2.696.817.599,79"
