Mês,Real,Previsto,Erro,Erro %
2024-09,"1.631.203.642,00","1.732.158.415,28","-100.954.773,28","-6,19"
2024-10,"1.640.457.108,00","1.734.174.639,59","-93.717.531,59","-5,71"
2024-11,"1.692.775.268,00","1.736.145.055,72","-43.369.787,72","-2,56"
2024-12,"1.902.199.195,00","1.737.433.120,65","164.766.074,35","8,66"
2025-01,"1.930.505.552,00","1.735.788.382,51","194.717.169,49","10,09"
2025-02,"1.834.642.358,00","1.733.816.970,56","100.825.387,44","5,50"
2025-03,"1.705.212.572,00","1.732.998.522,58","-27.785.950,58","-1,63"
2025-04,"1.748.732.492,00","1.735.548.968,32","13.183.523,68","0,75"
2025-05,"1.715.678.842,00","1.735.586.063,00","-19.907.221,00","-1,16"
2025-06,"1.784.350.742,00","1.735.743.030,74","48.607.711,26","2,72"
2025-07,"1.766.909.003,00","1.735.822.406,71","31.086.596,29","1,76"
2025-08,"1.850.109.508,00","1.736.305.301,40","113.804.206,60","6,15"
