Mês,Real,Previsto,Erro,Erro %
2024-09,"264.622.296,40","284.449.506,07","-19.827.209,67","-7,49"
2024-10,"284.607.421,20","306.772.607,07","-22.165.185,87","-7,79"
2024-11,"358.118.788,40","366.988.570,77","-8.869.782,37","-2,48"
2024-12,"402.941.902,60","391.674.614,25","11.267.288,35","2,80"
2025-01,"376.460.533,00","386.558.441,18","-10.097.908,18","-2,68"
2025-02,"481.524.866,00","471.156.241,68","10.368.624,32","2,15"
2025-03,"321.883.748,40","321.273.351,15","610.397,25","0,19"
2025-04,"330.264.762,40","344.215.271,66","-13.950.509,26","-4,22"
2025-05,"418.324.638,90","385.675.907,18","32.648.731,72","7,80"
2025-06,"418.387.059,10","369.842.105,88","48.544.953,22","11,60"
2025-07,"263.303.396,00","289.432.445,20","-26.129.049,20","-9,92"
2025-08,"341.782.561,00","340.959.065,16","823.495,84","0,24"
