Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"271.329.262,03","271.329.262,03","271.329.262,03"
2025-10,"281.681.169,17","281.681.169,17","281.681.169,17"
2025-11,"348.705.601,17","348.705.601,17","348.705.601,17"
2025-12,"424.265.314,74","424.265.314,74","424.265.314,74"
2026-01,"404.432.226,36","404.432.226,36","404.432.226,36"
2026-02,"449.555.690,04","449.555.690,04","449.555.690,04"
2026-03,"310.546.087,23","310.546.087,23","310.546.087,23"
2026-04,"337.601.396,28","337.601.396,28","337.601.396,28"
2026-05,"443.791.306,45","443.791.306,45","443.791.306,45"
2026-06,"435.869.201,06","435.869.201,06","435.869.201,06"
2026-07,"277.251.489,50","277.251.489,50","277.251.489,50"
2026-08,"300.471.496,59","300.471.496,59","300.471.496,59"
