Mês,Real,Previsto,Erro,Erro %
2024-09,"2.091.455.613,00","2.035.646.424,58","55.809.188,42","2,67"
2024-10,"2.054.956.634,00","2.017.129.884,36","37.826.749,64","1,84"
2024-11,"2.214.353.796,00","2.001.736.263,48","212.617.532,52","9,60"
2024-12,"2.084.211.169,00","2.008.780.012,20","75.431.156,80","3,62"
2025-01,"2.025.682.957,00","1.994.112.963,08","31.569.993,92","1,56"
2025-02,"1.938.628.021,00","1.954.000.211,47","-15.372.190,47","-0,79"
2025-03,"2.039.059.923,00","1.959.798.317,12","79.261.605,88","3,89"
2025-04,"2.039.204.469,00","1.980.566.874,58","58.637.594,42","2,88"
2025-05,"1.977.663.737,00","1.964.388.712,19","13.275.024,81","0,67"
2025-06,"2.094.023.948,00","2.002.352.657,66","91.671.290,34","4,38"
2025-07,"2.205.792.681,00","2.051.098.236,87","154.694.444,13","7,01"
2025-08,"2.216.600.468,00","2.079.270.377,84","137.330.090,16","6,20"
