Mês,Real,Previsto,Erro,Erro %
2024-09,"2.091.455.613,00","1.814.611.099,55","276.844.513,45","13,24"
2024-10,"2.054.956.634,00","1.814.475.873,64","240.480.760,36","11,70"
2024-11,"2.214.353.796,00","1.814.286.924,62","400.066.871,38","18,07"
2024-12,"2.084.211.169,00","1.814.176.512,10","270.034.656,90","12,96"
2025-01,"2.025.682.957,00","1.814.171.332,84","211.511.624,16","10,44"
2025-02,"1.938.628.021,00","1.814.184.469,34","124.443.551,66","6,42"
2025-03,"2.039.059.923,00","1.814.234.943,63","224.824.979,37","11,03"
2025-04,"2.039.204.469,00","1.814.250.622,68","224.953.846,32","11,03"
2025-05,"1.977.663.737,00","1.814.254.813,18","163.408.923,82","8,26"
2025-06,"2.094.023.948,00","1.814.246.055,51","279.777.892,49","13,36"
2025-07,"2.205.792.681,00","1.814.235.932,40","391.556.748,60","17,75"
2025-08,"2.216.600.468,00","1.814.224.114,26","402.376.353,74","18,15"
