Mês,Real,Previsto,Erro,Erro %
2024-09,"95.967.957,86","94.209.461,52","1.758.496,34","1,83"
2024-10,"85.418.598,66","88.326.967,89","-2.908.369,23","-3,40"
2024-11,"63.907.579,96","81.652.339,33","-17.744.759,37","-27,77"
2024-12,"63.573.885,80","82.314.673,30","-18.740.787,50","-29,48"
2025-01,"93.513.289,45","93.075.406,55","437.882,90","0,47"
2025-02,"123.318.320,30","99.276.851,57","24.041.468,73","19,50"
2025-03,"351.551.568,60","116.338.632,56","235.212.936,04","66,91"
2025-04,"304.421.500,40","161.513.558,98","142.907.941,42","46,94"
2025-05,"329.147.065,20","592.604.740,85","-263.457.675,65","-80,04"
2025-06,"188.257.043,80","229.210.595,22","-40.953.551,42","-21,75"
2025-07,"162.751.766,30","171.403.827,96","-8.652.061,66","-5,32"
2025-08,"125.601.132,90","135.633.139,85","-10.032.006,95","-7,99"
