Mês,Real,Previsto,Erro,Erro %
2024-09,"182.746.661,20","176.388.493,76","6.358.167,44","3,48"
2024-10,"190.091.253,60","186.583.143,65","3.508.109,95","1,85"
2024-11,"185.184.624,30","197.064.471,11","-11.879.846,81","-6,42"
2024-12,"478.579.988,60","356.421.125,08","122.158.863,52","25,53"
2025-01,"21.257.509,67","113.174.296,93","-91.916.787,26","-432,40"
2025-02,"199.064.031,70","189.658.523,10","9.405.508,60","4,72"
2025-03,"194.837.877,30","194.453.299,08","384.578,22","0,20"
2025-04,"190.846.193,90","194.405.883,78","-3.559.689,88","-1,87"
2025-05,"191.585.435,60","201.249.444,60","-9.664.009,00","-5,04"
2025-06,"197.912.784,70","194.661.815,33","3.250.969,37","1,64"
2025-07,"202.422.435,60","197.982.552,09","4.439.883,51","2,19"
2025-08,"204.958.413,60","192.561.463,76","12.396.949,84","6,05"
