Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"168.800.038,80","168.800.038,80","168.800.038,80"
2025-10,"184.444.309,89","184.444.309,89","184.444.309,89"
2025-11,"271.576.271,18","271.576.271,18","271.576.271,18"
2025-12,"325.853.960,45","325.853.960,45","325.853.960,45"
2026-01,"128.008.987,33","128.008.987,33","128.008.987,33"
2026-02,"181.931.307,02","181.931.307,02","181.931.307,02"
2026-03,"178.765.486,89","178.765.486,89","178.765.486,89"
2026-04,"181.350.280,49","181.350.280,49","181.350.280,49"
2026-05,"190.354.804,87","190.354.804,87","190.354.804,87"
2026-06,"195.128.958,68","195.128.958,68","195.128.958,68"
2026-07,"190.569.452,46","190.569.452,46","190.569.452,46"
2026-08,"182.640.464,50","182.640.464,50","182.640.464,50"
