Mês,Real,Previsto,Erro,Erro %
2024-09,"20.040.012,25","17.057.079,57","2.982.932,68","14,88"
2024-10,"15.696.746,09","17.058.537,71","-1.361.791,62","-8,68"
2024-11,"15.044.809,67","17.060.373,15","-2.015.563,48","-13,40"
2024-12,"27.311.687,59","17.059.373,78","10.252.313,81","37,54"
2025-01,"23.203.219,14","17.056.641,81","6.146.577,33","26,49"
2025-02,"20.985.208,14","17.054.437,39","3.930.770,75","18,73"
2025-03,"21.292.780,70","17.054.556,52","4.238.224,18","19,90"
2025-04,"18.703.977,57","17.056.871,73","1.647.105,84","8,81"
2025-05,"21.832.070,30","17.059.673,77","4.772.396,53","21,86"
2025-06,"30.289.284,28","17.059.686,99","13.229.597,29","43,68"
2025-07,"17.067.898,52","17.058.193,73","9.704,79","0,06"
2025-08,"12.520.703,52","17.056.036,93","-4.535.333,41","-36,22"
