Mês,Real,Previsto,Erro,Erro %
2024-09,"3.741.932.625,00","3.948.206.339,25","-206.273.714,25","-5,51"
2024-10,"3.661.486.921,00","3.897.297.324,29","-235.810.403,29","-6,44"
2024-11,"3.974.016.241,00","3.962.238.536,73","11.777.704,27","0,30"
2024-12,"4.547.424.042,00","4.256.792.190,17","290.631.851,83","6,39"
2025-01,"3.577.950.346,00","3.770.178.639,29","-192.228.293,29","-5,37"
2025-02,"4.030.185.720,00","3.945.625.596,55","84.560.123,45","2,10"
2025-03,"4.561.730.223,00","4.006.532.298,19","555.197.924,81","12,17"
2025-04,"4.720.029.714,00","4.011.789.853,43","708.239.860,57","15,00"
2025-05,"4.349.395.094,00","4.275.312.109,25","74.082.984,75","1,70"
2025-06,"4.230.775.229,00","4.119.946.111,81","110.829.117,19","2,62"
2025-07,"4.698.454.983,00","4.010.094.981,12","688.360.001,88","14,65"
2025-08,"3.776.432.389,00","4.111.410.281,64","-334.977.892,64","-8,87"
