Mês,Real,Previsto,Erro,Erro %
2024-09,"3.741.932.625,00","3.698.675.521,78","43.257.103,22","1,16"
2024-10,"3.661.486.921,00","3.697.698.201,08","-36.211.280,08","-0,99"
2024-11,"3.974.016.241,00","3.699.480.946,27","274.535.294,73","6,91"
2024-12,"4.547.424.042,00","3.700.240.731,29","847.183.310,71","18,63"
2025-01,"3.577.950.346,00","3.697.504.046,27","-119.553.700,27","-3,34"
2025-02,"4.030.185.720,00","3.699.249.943,20","330.935.776,80","8,21"
2025-03,"4.561.730.223,00","3.697.462.334,78","864.267.888,22","18,95"
2025-04,"4.720.029.714,00","3.698.068.554,19","1.021.961.159,81","21,65"
2025-05,"4.349.395.094,00","3.698.306.103,91","651.088.990,09","14,97"
2025-06,"4.230.775.229,00","3.696.132.804,53","534.642.424,47","12,64"
2025-07,"4.698.454.983,00","3.694.790.555,08","1.003.664.427,92","21,36"
2025-08,"3.776.432.389,00","3.695.215.712,97","81.216.676,03","2,15"
