Mês,Real,Previsto,Erro,Erro %
2024-09,"761.148.147,50","718.598.057,23","42.550.090,27","5,59"
2024-10,"810.134.063,30","733.011.103,48","77.122.959,82","9,52"
2024-11,"1.040.174.414,00","1.019.249.588,71","20.924.825,29","2,01"
2024-12,"1.167.069.849,00","1.035.185.244,78","131.884.604,22","11,30"
2025-01,"1.039.396.517,00","1.035.333.586,26","4.062.930,74","0,39"
2025-02,"1.394.195.631,00","1.039.230.927,08","354.964.703,92","25,46"
2025-03,"918.254.010,50","1.032.948.818,36","-114.694.807,86","-12,49"
2025-04,"933.177.251,00","1.033.403.226,31","-100.225.975,31","-10,74"
2025-05,"1.190.330.125,00","1.036.996.389,96","153.333.735,04","12,88"
2025-06,"1.222.367.800,00","1.029.670.443,45","192.697.356,55","15,76"
2025-07,"750.520.110,90","821.548.165,03","-71.028.054,13","-9,46"
2025-08,"990.066.695,80","970.455.603,37","19.611.092,43","1,98"
