Mês,Real,Previsto,Erro,Erro %
2024-09,"2.162.070.375,00","2.087.583.900,58","74.486.474,42","3,45"
2024-10,"2.045.140.239,00","2.060.971.554,56","-15.831.315,56","-0,77"
2024-11,"2.848.684.189,00","2.140.390.734,75","708.293.454,25","24,86"
2024-12,"2.031.892.881,00","2.111.529.135,64","-79.636.254,64","-3,92"
2025-01,"2.160.251.736,00","2.238.934.461,34","-78.682.725,34","-3,64"
2025-02,"1.830.078.091,00","1.981.404.543,73","-151.326.452,73","-8,27"
2025-03,"1.747.704.102,00","1.984.133.412,27","-236.429.310,27","-13,53"
2025-04,"1.984.976.847,00","2.071.742.180,45","-86.765.333,45","-4,37"
2025-05,"1.881.381.190,00","2.070.041.462,98","-188.660.272,98","-10,03"
2025-06,"2.127.506.819,00","2.157.846.902,70","-30.340.083,70","-1,43"
2025-07,"2.221.687.786,00","2.206.293.805,05","15.393.980,95","0,69"
2025-08,"2.107.200.133,00","2.195.596.530,84","-88.396.397,84","-4,19"
