Mês,Real,Previsto,Erro,Erro %
2024-09,"2.162.070.375,00","1.884.148.827,28","277.921.547,72","12,85"
2024-10,"2.045.140.239,00","1.881.674.102,42","163.466.136,58","7,99"
2024-11,"2.848.684.189,00","1.880.559.257,41","968.124.931,59","33,98"
2024-12,"2.031.892.881,00","1.879.942.800,11","151.950.080,89","7,48"
2025-01,"2.160.251.736,00","1.879.295.930,07","280.955.805,93","13,01"
2025-02,"1.830.078.091,00","1.877.841.288,39","-47.763.197,39","-2,61"
2025-03,"1.747.704.102,00","1.879.148.025,37","-131.443.923,37","-7,52"
2025-04,"1.984.976.847,00","1.880.013.589,88","104.963.257,12","5,29"
2025-05,"1.881.381.190,00","1.880.178.737,13","1.202.452,87","0,06"
2025-06,"2.127.506.819,00","1.880.648.733,83","246.858.085,17","11,60"
2025-07,"2.221.687.786,00","1.880.424.378,50","341.263.407,50","15,36"
2025-08,"2.107.200.133,00","1.879.332.292,50","227.867.840,50","10,81"
