Mês,Real,Previsto,Erro,Erro %
2024-09,"260.634.032,60","273.687.392,77","-13.053.360,17","-5,01"
2024-10,"261.620.733,60","275.789.531,90","-14.168.798,30","-5,42"
2024-11,"256.290.156,40","275.245.246,46","-18.955.090,06","-7,40"
2024-12,"482.283.987,10","272.287.753,55","209.996.233,55","43,54"
2025-01,"242.924.228,90","264.256.688,21","-21.332.459,31","-8,78"
2025-02,"244.813.401,60","267.088.646,38","-22.275.244,78","-9,10"
2025-03,"252.639.289,10","267.734.361,81","-15.095.072,71","-5,97"
2025-04,"266.758.644,10","264.239.112,60","2.519.531,50","0,94"
2025-05,"250.455.334,50","258.950.588,18","-8.495.253,68","-3,39"
2025-06,"256.916.286,40","260.068.143,68","-3.151.857,28","-1,23"
2025-07,"266.440.799,30","259.990.502,84","6.450.296,46","2,42"
2025-08,"258.562.771,50","261.323.740,29","-2.760.968,79","-1,07"
