Mês,Real,Previsto,Erro,Erro %
2024-09,"5.045.376,04","8.600.200,02","-3.554.823,98","-70,46"
2024-10,"5.320.361,24","5.186.309,64","134.051,60","2,52"
2024-11,"6.533.677,70","7.932.246,10","-1.398.568,40","-21,41"
2024-12,"7.523.052,29","6.290.657,73","1.232.394,56","16,38"
2025-01,"6.001.339,06","6.917.749,85","-916.410,79","-15,27"
2025-02,"5.696.774,06","7.468.270,17","-1.771.496,11","-31,10"
2025-03,"5.848.454,31","6.087.587,43","-239.133,12","-4,09"
2025-04,"6.005.241,54","8.247.761,48","-2.242.519,94","-37,34"
2025-05,"4.537.527,66","5.804.888,85","-1.267.361,19","-27,93"
2025-06,"6.769.703,76","8.406.323,61","-1.636.619,85","-24,18"
2025-07,"7.688.517,56","6.138.974,87","1.549.542,69","20,15"
2025-08,"5.464.099,61","8.022.544,04","-2.558.444,43","-46,82"
