Mês,Real,Previsto,Erro,Erro %
2024-09,"5.045.376,04","5.865.809,05","-820.433,01","-16,26"
2024-10,"5.320.361,24","5.873.387,37","-553.026,13","-10,39"
2024-11,"6.533.677,70","5.815.058,82","718.618,88","11,00"
2024-12,"7.523.052,29","5.898.477,73","1.624.574,56","21,59"
2025-01,"6.001.339,06","5.804.804,26","196.534,80","3,27"
2025-02,"5.696.774,06","5.827.301,86","-130.527,80","-2,29"
2025-03,"5.848.454,31","5.840.037,02","8.417,29","0,14"
2025-04,"6.005.241,54","5.857.038,68","148.202,86","2,47"
2025-05,"4.537.527,66","5.862.587,65","-1.325.059,99","-29,20"
2025-06,"6.769.703,76","5.863.929,25","905.774,51","13,38"
2025-07,"7.688.517,56","5.882.882,87","1.805.634,69","23,48"
2025-08,"5.464.099,61","5.856.510,91","-392.411,30","-7,18"
