Mês,Real,Previsto,Erro,Erro %
2024-09,"4.540.458.209,00","4.874.079.899,60","-333.621.690,60","-7,35"
2024-10,"4.476.633.526,00","4.876.842.942,03","-400.209.416,03","-8,94"
2024-11,"5.494.452.385,00","4.887.303.460,44","607.148.924,56","11,05"
2024-12,"5.126.413.130,00","4.889.419.362,12","236.993.767,88","4,62"
2025-01,"4.931.497.650,00","4.884.840.602,71","46.657.047,29","0,95"
2025-02,"4.913.042.911,00","4.890.265.487,17","22.777.423,83","0,46"
2025-03,"4.229.868.272,00","4.891.501.805,22","-661.633.533,22","-15,64"
2025-04,"4.566.925.022,00","4.889.647.563,77","-322.722.541,77","-7,07"
2025-05,"4.849.968.150,00","4.894.338.480,10","-44.370.330,10","-0,91"
2025-06,"5.150.377.889,00","4.897.438.111,13","252.939.777,87","4,91"
2025-07,"5.621.536.128,00","4.898.452.825,00","723.083.303,00","12,86"
2025-08,"4.827.723.152,00","4.898.797.542,62","-71.074.390,62","-1,47"
