Mês,Real,Previsto,Erro,Erro %
2024-09,"3.289.015.053,00","3.443.305.685,07","-154.290.632,07","-4,69"
2024-10,"3.237.995.062,00","3.444.539.981,26","-206.544.919,26","-6,38"
2024-11,"3.901.673.756,00","3.448.897.200,17","452.776.555,83","11,60"
2024-12,"3.755.247.791,00","3.448.552.963,00","306.694.828,00","8,17"
2025-01,"3.592.514.664,00","3.446.667.615,84","145.847.048,16","4,06"
2025-02,"3.658.131.705,00","3.450.796.918,68","207.334.786,32","5,67"
2025-03,"3.053.185.461,00","3.451.857.119,02","-398.671.658,02","-13,06"
2025-04,"3.279.915.013,00","3.450.154.837,75","-170.239.824,75","-5,19"
2025-05,"3.539.022.830,00","3.453.704.946,36","85.317.883,64","2,41"
2025-06,"3.795.614.098,00","3.455.900.965,40","339.713.132,60","8,95"
2025-07,"4.259.221.936,00","3.456.369.046,94","802.852.889,06","18,85"
2025-08,"3.473.667.394,00","3.456.305.774,43","17.361.619,57","0,50"
